province,province_abbreviation,shared_family,selected_factual_percentile,selected_threshold,factual_empirical_event_count,counterfactual_empirical_event_count,empirical_factual_lower_tail_probability,empirical_counterfactual_lower_tail_probability,fitted_factual_lower_tail_probability,fitted_counterfactual_lower_tail_probability,factual_return_period,risk_ratio,factual_return_anomaly,counterfactual_return_anomaly,absolute_intensity_change,relative_intensity_change_percent,threshold_reconstruction_error
Sichuan Province,SC,gennorm,5.0,-0.9748365353370351,27,7,0.05142857142857143,0.013333333333333334,0.0440393799108441,0.011117066551086314,22.70695005298573,3.961420911574983,-0.9748365353370361,-0.6864093795662869,-0.2884271557707492,-29.587232865767547,-9.992007221626409e-16
Chongqing Municipality,CQ,gennorm,5.0,-1.004917318973815,27,20,0.05142857142857143,0.0380952380952381,0.057237109481027414,0.041041227675242105,17.471182753061168,1.3946246913942923,-1.0049173189738156,-0.915114278049722,-0.08980304092409364,-8.936361154149196,-6.661338147750939e-16
Hubei Province,HB,gennorm,5.0,-0.8388968302740513,27,19,0.05142857142857143,0.03619047619047619,0.055546537119396,0.03323146915005801,18.002922447722042,1.6715041055986248,-0.8388968302740514,-0.7294763263370565,-0.10942050393699487,-13.04338030473298,-1.1102230246251565e-16
Hunan Province,HN,gennorm,5.0,-0.9861115651869219,27,9,0.05142857142857143,0.017142857142857144,0.04800211951221546,0.017394181352927824,20.83241344677546,2.759665346603716,-0.9861115651869219,-0.7564329941103143,-0.2296785710766076,-23.29133732784799,0.0
Guizhou Province,GZ,gennorm,5.0,-0.8528054450031237,27,9,0.05142857142857143,0.017142857142857144,0.04384319175359183,0.02041185674785625,22.808558410168107,2.1479276625923043,-0.8528054450031229,-0.7016649729204139,-0.1511404720827091,-17.722737696891183,7.771561172376096e-16
