province,province_abbreviation,selected_factual_percentile,selected_threshold,empirical_factual_lower_tail_probability,empirical_counterfactual_lower_tail_probability,counterfactual_empirical_event_count,fitted_factual_lower_tail_probability,fitted_counterfactual_lower_tail_probability,factual_return_period,risk_ratio,factual_return_anomaly,counterfactual_return_anomaly,absolute_intensity_change,threshold_reconstruction_error,shared_family
Sichuan Province,SC,5.0,-0.9810882676731217,0.05142857142857143,0.017142857142857144,9,0.041551358461469394,0.012430547988919165,24.066601839920608,3.3426811511856993,-0.9810882676731216,-0.7290566183500082,-0.2520316493231134,1.1102230246251565e-16,gennorm
Chongqing Municipality,CQ,5.0,-1.0258637104473325,0.05142857142857143,0.04380952380952381,23,0.05512318370872503,0.044756144184333796,18.141187295785993,1.2316338843152637,-1.025863710447331,-0.9690605362527867,-0.05680317419454428,1.5543122344752192e-15,gennorm
Hubei Province,HB,5.0,-0.8617364724572038,0.05142857142857143,0.0419047619047619,22,0.056287296338540085,0.03480187037315656,17.765998103470764,1.617364116784818,-0.861736472457204,-0.7571691564266242,-0.10456731603057978,-2.220446049250313e-16,gennorm
Hunan Province,HN,5.0,-0.9684789411788376,0.05142857142857143,0.017142857142857144,9,0.04826949487847022,0.017686757091631023,20.717018119160652,2.7291320069811027,-0.9684789411788367,-0.7439012508928142,-0.22457769028602248,8.881784197001252e-16,gennorm
Guizhou Province,GZ,0.0,-1.3866595618874726,0.0019047619047619048,0.0019047619047619048,1,0.0033474762153101766,0.0006400221760233909,298.73251837499316,5.230250358056088,-1.3866595618874726,-1.181015590718542,-0.20564397116893063,0.0,gennorm
