Province,M2_selected_percentile,M2_threshold,M2_RR_point,M2_RR_bootstrap_median,M2_RR_2.5%,M2_RR_97.5%,M2_RIC_point,M2_RIC_bootstrap_median,M2_RIC_2.5%,M2_RIC_97.5%,M2_successful_bootstraps
Sichuan Province,5.0,-0.9748365353370351,3.961420911574983,3.7657924105147247,2.320162438892269,7.713115792881997,-29.587232865767547,-30.69148305241254,-39.522091327562265,-21.42355162191977,1000
Chongqing Municipality,5.0,-1.004917318973815,1.3946246913942923,1.4272079878950565,0.9280387710139644,2.2711037665827947,-8.936361154149196,-9.02852925877017,-18.030329260064445,2.213866389934523,1000
Hubei Province,5.0,-0.8388968302740513,1.6715041055986248,1.7334505576480665,1.073969648626896,3.2603011718018178,-13.04338030473298,-13.021911508242823,-23.210116517695447,-2.0903355404213184,1000
Hunan Province,5.0,-0.9861115651869219,2.759665346603716,2.7537241449458367,1.6535462371028034,4.942410116888607,-23.29133732784799,-23.68901346558487,-32.805733005700006,-13.887971609389183,1000
Guizhou Province,5.0,-0.8528054450031237,2.1479276625923043,2.033332692926739,1.2657931244293357,3.796541466117348,-17.722737696891183,-17.968251837705083,-27.725716478405023,-6.990843145934103,1000
