Province,Distribution,Selected_percentile,Original_threshold,Original_factual_empirical_event_count,Original_counterfactual_empirical_event_count,Original_empirical_factual_probability,Original_empirical_counterfactual_probability,Threshold_bootstrap_median,Threshold_2.5%,Threshold_97.5%,Factual_return_period_point,Factual_return_period_bootstrap_median,Factual_return_period_2.5%,Factual_return_period_97.5%,RR_point,RR_bootstrap_median,RR_2.5%,RR_97.5%,RR_valid_bootstraps,RIC_point,RIC_bootstrap_median,RIC_2.5%,RIC_97.5%,RIC_valid_bootstraps,Absolute_intensity_change_point,Absolute_intensity_change_bootstrap_median,Absolute_intensity_change_2.5%,Absolute_intensity_change_97.5%,Requested_bootstraps,Successful_bootstraps,Bootstrap_success_fraction
Sichuan Province,gennorm,5.0,-0.9748365353370351,27,7,0.05142857142857143,0.013333333333333334,-0.9364868661198479,-1.0295015036666126,-0.8487215057025399,22.70695005298573,19.710188748316007,15.632506822611719,25.574179345141015,3.961420911574983,3.7657924105147247,2.320162438892269,7.713115792881997,1000,-29.587232865767547,-30.69148305241254,-39.522091327562265,-21.42355162191977,1000,-0.2884271557707492,-0.2851420122919248,-0.3866889666641846,-0.19399056650390223,1000,1000,1.0
Chongqing Municipality,gennorm,5.0,-1.004917318973815,27,20,0.05142857142857143,0.0380952380952381,-1.0376067482209521,-1.1405117747005455,-0.9358599579665633,17.471182753061168,19.523690972603173,15.36880910345922,25.835590506021845,1.3946246913942923,1.4272079878950565,0.9280387710139644,2.2711037665827947,1000,-8.936361154149196,-9.02852925877017,-18.030329260064445,2.213866389934523,1000,-0.08980304092409364,-0.0937908726961802,-0.1935455610791596,0.021470210897156602,1000,1000,1.0
Hubei Province,gennorm,5.0,-0.8388968302740513,27,19,0.05142857142857143,0.03619047619047619,-0.8584956453634889,-0.9450688361563316,-0.7764032303652016,18.002922447722042,19.635863186309102,15.871731168565322,25.594413313596057,1.6715041055986248,1.7334505576480665,1.073969648626896,3.2603011718018178,1000,-13.04338030473298,-13.021911508242823,-23.210116517695447,-2.0903355404213184,1000,-0.10942050393699487,-0.11178003823514648,-0.21156437842219228,-0.015873229676868095,1000,1000,1.0
Hunan Province,gennorm,5.0,-0.9861115651869219,27,9,0.05142857142857143,0.017142857142857144,-0.973405094474231,-1.0612419562644928,-0.8775658226437271,20.83241344677546,19.723775482350135,15.700613023026186,25.200663963998235,2.759665346603716,2.7537241449458367,1.6535462371028034,4.942410116888607,1000,-23.29133732784799,-23.68901346558487,-32.805733005700006,-13.887971609389183,1000,-0.2296785710766076,-0.23049675975684436,-0.3288952822857758,-0.12840397227075898,1000,1000,1.0
Guizhou Province,gennorm,5.0,-0.8528054450031237,27,9,0.05142857142857143,0.017142857142857144,-0.8111657917734462,-0.9093478657022912,-0.728653169042345,22.808558410168107,19.692019111152383,15.42945879714748,25.523049722005712,2.1479276625923043,2.033332692926739,1.2657931244293357,3.796541466117348,1000,-17.722737696891183,-17.968251837705083,-27.725716478405023,-6.990843145934103,1000,-0.1511404720827091,-0.14553815274153614,-0.24119348623370185,-0.05525590530956731,1000,1000,1.0
