Province,event_threshold_cdd,factual_exceedance_prob,counterfactual_exceedance_prob,factual_return_period,RR_m2,RIC_m2
Sichuan Province,218.9969398608132,1.9688601212208595e-07,1.1305846302467472e-24,5079080.983060978,1.7414531106717424e+17,30.137684201512442
Chongqing Municipality,281.4062210003896,0.000403480056098688,5.353272481239276e-25,2478.437248346689,7.53707302426128e+20,60.92922690414598
Hubei Province,272.6892303445235,0.007144960716701133,0.0,139.95878209134582,inf,47.89895324981389
Hunan Province,278.9391551623173,0.02373783966264203,2.0250197777207744e-06,42.12683269462692,11722.275468025178,47.20169987171661
Guizhou Province,38.26782040906223,0.30455817524851136,8.458889641165118e-06,3.2834449417883023,36004.5098314537,151.02028988383327
