Province,mu0_est,sigma0_est,alpha_GMST_est,disp_est,event_magnitude_est,return_period_est,PR_est,dI_abs_est,dI_rel_est,aic_est,n_est,mu0_2.5%,sigma0_2.5%,alpha_GMST_2.5%,disp_2.5%,event_magnitude_2.5%,return_period_2.5%,PR_2.5%,dI_abs_2.5%,dI_rel_2.5%,aic_2.5%,n_2.5%,mu0_97.5%,sigma0_97.5%,alpha_GMST_97.5%,disp_97.5%,event_magnitude_97.5%,return_period_97.5%,PR_97.5%,dI_abs_97.5%,dI_rel_97.5%,aic_97.5%,n_97.5%
Anhui Province,4.81005506793304,0.343881675295321,0.229317045943655,0.0683050418876057,301.530983774839,40.1029239491583,8.6620303568074,72.5377809383024,31.6768271021924,656.421358715397,62,4.66505265767639,0.273894058680246,-0.0448520765562966,0.0537627124030082,301.530983774839,13.6086111968931,0.632326870482338,-16.6744113760858,-5.23980064126733,627.189452776493,1000,4.94319893500485,0.393781288313786,0.502622036498702,0.0786643061773796,301.530983774839,275.543564559339,311.809083191641,136.567138112731,82.7861024174115,676.673563372075,0
Beijing Municipality,2.57220558176641,0.653252216950374,1.12410743416754,0.17788030159253,49.1917795871042,2.73045208972893,45.5120601418987,36.4256235838343,285.329613507027,499.048867230246,62,2.28523066540363,0.552814532946155,0.663102841611379,0.147195360821967,49.1917795871042,1.8600297761603,8.22164766656783,26.9937567031411,121.604376296568,466.117780452658,1000,2.82456964005537,0.723882878533798,1.60709852476903,0.203996581029453,49.1917795871042,4.79348852267184,901.398680488313,42.0410909806444,587.931163157367,522.261548804987,0
Chongqing Municipality,4.36060587911543,0.421786785139595,0.277055758673906,0.0910637617764141,281.40622100039,118.671045034249,11.3697142159833,79.5950745864607,39.4403758171046,628.174416688441,62,4.17260978204157,0.344655938206048,-0.080487429042785,0.0753008843220337,281.40622100039,25.563590510378,0.454467902258914,-28.5354658464736,-9.20671969982765,600.307890604801,1000,4.51692599504951,0.482786745244877,0.632251052677874,0.103515220593783,281.40622100039,3424.60194593212,296.051810583316,149.63094867593,113.550096673169,647.445446417207,0
Fujian Province,3.97200079529809,0.257057422323908,0.672853729562869,0.055513289834116,134.50445397992,6.8563432430965,10710.1360883383,74.5147565419916,124.21258936852,536.51961160016,62,3.87391588708495,0.196238521904716,0.4927551923393,0.042617338292774,134.50445397992,3.65819539496218,341.143235610422,60.0422929903322,80.6346393687722,505.409222188124,1000,4.06499367046375,0.312397133184477,0.852362696799313,0.068298224649062,134.50445397992,18.3118491834628,6221745.79703258,86.1401470255123,178.106859567986,558.9029768843,0
Gansu Province,-1.43630255875428,0.87093153896979,2.20388258332555,1.20837220924566,2.87932310384668,2.8613826620064,1129.83733629298,2.67480604034088,1307.86448548095,86.5826248925393,62,-1.76923657293951,0.705984158663481,1.60523169905657,0.738736726235652,2.87932310384668,1.85861438727842,170.407155414713,2.45983608612498,586.39161336638,47.6954763991386,1000,-1.15777791665135,1.00935594298039,2.790787366021,3.12431466742258,2.87932310384668,6.00307909407999,36806.6783240712,2.77819717302228,2747.27005088832,120.914230347639,0
Guangxi Zhuang Autonomous Region,4.61955416079593,0.184423182694061,0.340259096071147,0.0372377788916217,151.056757121977,2.76165123378478,70.5634850051702,50.6384305792492,50.4274790495564,560.564888443186,62,4.54740731119814,0.144159743720302,0.207331634415248,0.0287962661679903,151.056757121977,1.78315200028209,11.5084703083201,33.272138365444,28.2482911083064,532.31405253062,1000,4.68185149895532,0.214571057020533,0.475203615391146,0.0435448994789162,151.056757121977,4.98810846867477,1123.38121292585,65.6511884655344,76.869916469257,577.742195636917,0
Guangzhou Province,4.86629957190914,0.135025976183002,0.551207735760767,0.0249780090079682,207.734766752807,1.43532313653519,119436.950939656,100.522269227115,93.7598428793492,562.059341165625,62,4.81239951165088,0.105795299599339,0.451973713832486,0.0195076492299594,207.734766752807,1.13506662766741,3547.65846701359,86.964057195621,72.0076200235727,532.000463254595,1000,4.91637581261872,0.157459707131391,0.663017625614616,0.0292379609262367,207.734766752807,1.99621959203829,136116072.453133,113.98389292543,121.581699277459,580.034651476282,0
Guizhou Province,1.31380417934925,0.721142183916928,0.885464473928155,0.330730499127836,38.2678204090622,47.2556395377551,92.2618745753145,25.0435742341698,189.376195081104,344.44797296276,62,1.01314358852269,0.587949357664313,0.332399773554154,0.256695484471095,38.2678204090622,14.0847465953396,6.05272692375696,12.5873117644752,49.0158324730735,310.503266097159,1000,1.5737903168546,0.823641654971668,1.50174786655003,0.411373824400473,38.2678204090622,521.768944243934,4803.66507035459,31.9554457705166,506.23497356770997,367.334374197815,0
Hainan Province,4.89746903082565,0.142511275703111,0.551952334395547,0.0262080427407235,219.746447798854,1.60130673848595,83898.7039939403,106.435978124573,93.9330482262843,572.648519012015,62,4.84062918170157,0.1107699472559,0.419742429416995,0.0202527861356675,219.746447798854,1.21199780429206,1166.39034381764,86.9545190869288,65.4817806939158,541.231027833291,1000,4.96224706988479,0.170276566408534,0.674626532813002,0.031515928964311,219.746447798854,2.53238510234728,944211180.258019,121.946647757034,124.69007888888,595.24963286405,0
Hebei Province,3.89290977326447,0.378329448159483,0.572685637600342,0.0849524516173003,108.445302668832,3.71541808349546,35.8347199957439,53.9004603674814,98.8186198608678,570.093589612708,62,3.7222682055922802,0.314887806958223,0.303927144426228,0.0703171037189736,108.445302668832,2.26928136230246,6.95272202974729,33.1412617413,44.0100668247453,544.141635633307,1000,4.03362802986401,0.425515252237192,0.869970055736779,0.0958448288258457,108.445302668832,8.46841685879046,524.555767353639,70.2664274913713,184.045590616671,587.001993012525,0
Heilongjiang Province,-0.398837536203014,1.45758334320162,2.12048803912947,0.869373576134969,2.60306190553992,1.45072194939447,6.54547241518163,2.39870703579525,1173.7948984491,275.304786687053,62,-0.958761037521332,1.12007140964528,1.28234531171496,0.601904472675996,2.60306190553992,1.216896744188,3.11061846361536,2.04435216032504,365.906673217308,224.517928974144,1000,0.131994742490999,1.76913456572395,3.06550164778509,1.35150601910037,2.60306190553992,1.82868134388719,18.7279757724386,2.53731308288085,3859.10084144009,313.281994334552,0
Henan Province,4.51352825050273,0.365650597063111,0.238788507232516,0.0770237869822681,241.022702729914,45.8105778760066,8.57026661321682,60.0502323093914,33.1819708101756,627.6933120203,62,4.35834620958251,0.288535820046996,-0.0571321740785246,0.0602279009274725,241.022702729914,15.0021625406926,0.557665200265309,-17.1039606178521,-6.62606465259546,598.032092327729,1000,4.64585556678754,0.426972092501167,0.532345449691193,0.0902930428426271,241.022702729914,461.040538805084,291.331692264687,113.78250870183,89.4234008723903,647.28129016916,0
Hong Kong Special Administrative Region,-5.77863350800799,0.132879551381624,0.462655085455721,-0.024950112086269,0.00445182955434783,1.33759017050061,3350.82371055797,0.00189663326841009,74.2265194595033,-763.909553216484,62,-5.83072905244116,0.108921121385251,0.3590035710934,-0.0283351788252579,0.00445182955434783,1.09487705684067,330.127035829478,0.00155819883147261,53.8496194669997,-787.915325145821,500,-5.7246820212072,0.151773424033844,0.568430586708735,-0.0205071461801492,0.00445182955434783,1.81340573819689,182985.131853718,0.00220121747574861,97.8067729601166,-748.017313675523,0
Hubei Province,4.7058260816592,0.314738256237251,0.262329777111821,0.0634222861675817,272.689230344523,49.753819638167,17.6768787743389,73.6430093913028,36.9979440145263,634.012610361917,62,4.57636048668995,0.252570878402211,0.0216893730475872,0.0507586336832109,272.689230344523,15.3896123562354,1.30857723684815,7.00577436881963,2.63689514509838,606.122108403413,1000,4.8163787394302,0.363982503138648,0.49706594987971,0.0731684096446014,272.689230344523,434.51244228597,589.426849737171,122.506337616413,81.5714982664727,652.760390147586,0
