,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hainan Province,148.0605924385364,138.72596244211155,101.91582927513055,130.4464496836863,105.50886832047169,137.39248145856135,139.66174558083327,165.4726877592264,136.39313524471962,154.4147460007518,111.58557930348087,111.3360144007317,132.11081710011342,137.16876900824005,110.2825292359564,108.00929931921841,206.36251183246645,132.336223714654,156.195209180076,161.41334506211126,141.9839610631238,157.5070932261688,191.549773831599,131.8182544570084,136.08777250329965,153.47219834988982,184.56812154620624,169.39682607736128,147.24819597798688,165.94010185004726,154.09981882194103,138.02356087845195,203.63830754269753,131.479174142802,165.33526083445372,192.07402950864122,162.0464753300961,238.40142944767848,174.13796537642517,160.26739167609654,157.07937689222314,178.09575547877878,192.22979778458506,189.85479450125257,180.84369766146108,191.18071184604796,189.44982395806932,159.60316000146523,185.79648337968655,211.8587593048256,189.78505828986724,177.24644395663705,159.0914784570561,215.40669595047143,241.08711444476143,231.75163185279783,217.2030636855755,154.13559782793402,251.16702911232431,255.51685634889097,250.99264536266196,219.74644779885452
Taiwan Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangxi Zhuang Autonomous Region,119.91547002367324,111.51892868558741,124.5616155656588,114.72691550870687,97.19532651276867,92.42521489323097,131.35933320265897,89.45948759682815,108.65312359793386,95.81152739629323,73.98989062498703,113.94566623957846,80.55467663000701,64.80721581489478,104.23799068819801,78.84414600833479,111.7162653063507,117.99182288357855,108.56176040863478,110.43248629791941,119.00557753281956,114.09412670156118,149.74151041517501,111.83668210844296,127.39312870847215,106.64025718779473,114.34546761109135,119.49949194851595,130.85504593216044,142.50922629930824,114.73045365305533,116.5022714076238,115.88252230256063,66.51653925912206,106.04246750541269,98.54294228734875,73.4595134987216,147.52291823388435,107.40701934057786,142.506140190664,101.82978519427397,95.12845335905658,152.76272175033648,107.73260279678605,132.1819142687034,114.09672891614952,153.84114465583778,95.26664847020518,153.89875291144295,142.59486898436128,155.07360048105627,127.0555680956043,126.1259413008926,131.5280947627528,132.52004453812958,161.73148823525236,104.07725584038738,105.89801241831805,136.43964686197413,155.6070585623611,168.3559128348508,151.05675712197694
Fujian Province,72.11392349177616,67.49748519307724,51.95980559304462,64.60328077077193,37.99346628006458,57.80901477018608,79.17811586088212,49.156143091212925,64.93314956915805,55.04937873995304,76.14981702876753,43.79511859185298,38.105928583129284,41.845619455149965,40.68123305084549,39.52874655261158,63.562565000212324,65.01313277057952,76.60763701363916,83.80450492224548,60.641982453703996,51.516218064733316,80.15151347275899,51.58419543727956,31.656336614975213,60.45405381852001,66.08066012583768,84.07425223938762,71.12811044181444,74.44792489304662,84.84388945787374,51.25984615550283,64.18830364455687,62.317362205033035,46.79266196373884,62.94658454216589,28.811639722201953,100.84210384409931,46.74468469801546,57.16515199806302,64.3022506745501,66.12856190071285,131.7490717871798,77.86962359735872,79.63732719756669,89.64826393824745,92.03093214972499,70.78646638426164,87.3930093132223,97.36997380876889,92.24186644475475,82.7958662154395,92.11102000413709,97.85425623950032,74.10715476007918,98.02642795514471,107.14345025099098,76.7746663413325,91.49956590708803,135.39590993726733,96.2925562960582,134.50445397992019
Yunnan Province,0.008376219237162386,0.0004986344640528105,0.0167738363064115,0.0057149089034406065,0.012704138026037625,0.0015850770204385905,0.01866101375879626,0.0,0.001849270659299469,0.0032201094416429584,0.0010325511099463069,0.005444349839264084,0.03252232200445573,0.0,0.006199259323626262,0.00429932457099268,0.05075242943870361,0.004930965758370222,0.011277858961006524,0.015197733050873337,0.0016910784820841727,0.02518777105754151,0.06546688906134976,0.009698537315614948,0.0,0.035531039658134984,0.027790516435883587,0.05237360854355284,0.00911209828897755,0.003956946174417216,0.019814359541703144,0.0018883187276824973,0.0128910510427687,0.001352168408680623,0.02984864822113444,0.004716895060814277,0.019822873736346783,0.10392647881885236,0.005898178901434771,0.01060049707376541,0.005799886988126448,0.013634022782656343,0.03380076358191726,0.01987363233344326,0.006719009863677038,0.011616748577276579,0.027284441128018457,0.0033716335379930453,0.023420933821515087,0.1347088917393188,0.07633841938315442,0.01120657603677753,0.026501089192634414,0.34082082041703504,0.12269923957843877,0.0614380107466077,0.10091505765089298,0.027261500308947022,0.2113321599886265,0.06204663279288206,0.11367966997193248,0.24712814332863442
Guizhou Province,12.451197914549127,5.235687300119293,3.201069216484189,10.360349365896838,2.8681097423655744,10.601828463076455,6.218328659605257,0.9362317236287407,2.962577781674801,3.2285420995945135,6.003032075236781,12.242403389612068,1.9364321493146983,0.5983101299725972,6.704542727146733,2.655947490551363,4.539770607467674,9.559248335687082,4.143305304876185,2.8857844418583367,11.989742687115475,4.286419148925597,3.780120309815134,4.542734093548907,3.760651300665706,3.194582244636113,2.0093500652066543,11.258647211792516,7.009141361010933,5.196490843946709,2.03550319760425,9.013489386020181,1.86947459149724,4.515379753063399,5.368573698891688,2.163828645784016,2.480567017719529,4.333372658619633,2.1522989139778645,3.462892371337724,4.898792062497378,4.403711144966914,13.067301669689614,2.698170736706767,6.565820711154264,14.803506953410935,3.90737004064634,1.0641520710572272,7.284125889664695,14.230358631731605,17.652395220074638,4.220932290640933,21.339631189735947,5.454180050495929,4.386397656633364,12.28125478426145,11.42366304991084,9.415254141125693,6.74499612333109,6.923160658579658,11.831596349606006,38.26782040906223
Jiangxi Province,222.2456234587967,180.82991198639928,174.6012756032303,170.96445379096627,120.2238790428926,164.30950277174583,222.20003731014896,136.20525487127728,141.48968184745195,137.1533585894406,224.45333447337984,134.66969329564913,131.24327715230544,89.6269447388656,124.57784047984538,137.3812892422214,124.72559699803917,217.7795470098846,169.03493098814351,129.50835220827244,192.8160806452149,124.17670195323609,157.59658686717458,161.71438528487278,139.4442579211865,140.13746148427714,134.7623268279689,208.94317672855786,148.37931337001962,193.73805070349917,190.24214746895032,139.54402879993478,109.9742478498781,164.35641699758696,138.70422580575234,138.6980025973724,72.86951862990433,187.73575123168192,86.0686390263205,155.55521135895316,143.02696979340382,135.7858056086314,248.0258383203511,147.85958588543733,191.68340129934035,197.77741582191277,205.85204468259695,174.97729207449515,202.7687664324937,192.26531780804083,183.7397975106798,190.30140860390532,259.974978342787,130.15674152297015,123.45905656910884,215.7638585375111,187.16131102026964,199.13878396656764,191.38042731189148,207.7061935975549,193.60733243744343,290.7283016117823
Hunan Province,207.55437752086718,155.3248320715486,191.1319391108832,164.47626322197257,129.66069865880394,166.69188781283003,179.18947915301698,106.27533427967668,118.65220421308429,112.93270537981236,170.31732549462703,162.15922032710614,107.9382028680639,94.41611851986288,130.16183397486733,120.17557589386558,127.0338709984854,184.86412083881945,139.51086631392855,104.0845807348167,194.50742859699795,114.47113557075501,133.6481103029758,152.2857174777425,147.210791089217,105.17090808466324,116.3256854515873,169.137099923949,132.10529011441454,166.54148997074316,143.92799162095713,141.68647609818026,89.89175648485275,120.09574324059204,149.20571655883094,107.47614412678558,100.14723240469993,187.94300397726997,73.9922531668916,147.98170683372012,145.12903020080935,113.3300477524964,208.06655551032839,111.76474178672277,173.93752332316183,164.97411019398186,177.212141756385,138.5581350826066,191.8220702615049,191.1384827161037,161.59243905915378,159.44836856585837,273.12845990578376,96.49202423248104,100.50942653816776,180.8839093257561,169.7179672468007,178.18304291422962,172.6941004743453,174.12066449605732,195.9714989869928,278.9391551623173
Zhejiang Province,168.55592160063935,105.95034650379716,101.51314416091577,135.2022441489793,86.49656970766972,122.43122643819835,172.07187270706964,82.49740908860406,96.26161771943194,96.33702427717425,182.6871450653796,64.10909659272721,82.30912315821317,65.28182282139875,81.1378217140916,94.60499946084498,96.21463528102836,142.84554937602445,105.38392356430815,79.41240284548894,101.38710100753175,59.72659659750501,93.26357680767231,104.0315747017751,80.64087073865652,99.31463459197892,91.95061649614784,141.85201406257528,66.822876173603,151.2525486734241,111.29926461550826,89.86347843159507,85.60923796179247,174.63452861970376,125.38674400943071,111.69595698051525,74.48626006456507,169.611206610318,43.34402872288018,116.3577512321749,124.48816976591735,87.6321480722115,205.03414887197297,147.12054413489233,152.8184173448895,171.37539058487846,190.25365693442242,140.7408659427486,140.88139102274624,151.4384324191771,148.28195391143942,150.70260932152053,237.59709761431094,84.16291726764325,88.0201857925303,184.74262048034143,202.06022288380422,149.74092443640416,123.37608625222461,160.76363409091726,124.32260010551683,278.63668796631845
Shanghai Municipality,184.10085974633168,114.86654755218866,114.56287234720381,161.95874613108916,100.60349882611632,149.3465365840592,184.23644831318921,81.07428246739916,103.96960373110836,101.71486968812363,209.34721035056285,67.81553098725709,107.23517791033937,77.03255922079927,110.36991579511005,97.62919065700176,100.89072026398011,185.2374365806901,97.22346587063339,66.140814319341,119.80931597234243,59.14188818838317,111.83133742072081,120.81511211859649,106.8339559628139,102.33209520324522,101.49610898494639,134.68889095433093,60.17117393071227,190.95528683626787,101.39880414170123,108.97451198455218,75.21563014223364,215.99672052559183,162.4359116977634,117.09126661837172,107.81163715332988,210.33007013288648,50.338120628094956,152.61378627563565,157.72705792848143,102.25730128212922,191.75812000691406,191.68167918721798,193.90077000251034,230.31877538390583,221.05836828050644,184.3079819340731,146.98818098602865,205.0806481974609,173.57490117111362,191.87332753767956,321.43661901425753,78.41319833128891,107.64123830399237,212.03983108490792,260.35931906683857,195.16752972242284,138.8553619028036,161.8743416502039,147.33173779788962,320.59865551726847
Chongqing Municipality,169.82261234138184,91.26857794845105,95.93772849301628,117.41075447513782,40.312146974574574,128.89946565359406,117.93273872366527,57.157387752129225,96.17155121199505,107.00241246355841,132.12324145074538,137.82832591241782,87.89468213546323,45.5035402704713,101.59412586960205,97.13535773036017,87.56123340354206,131.77779009409483,81.80168891487986,57.239670536735424,110.46708095829553,37.53521872181973,35.174010987821646,64.88267704738033,73.70950393047798,53.183366411281554,33.87030079434273,87.84614319095903,70.79216862668034,99.1049208189329,55.17962721744725,94.13999562778076,38.590177562363166,124.96264732298572,78.88381802198614,85.20939941413329,98.57359416330853,53.48819475344765,52.83309377819202,53.788342127838206,99.22627224107865,63.42208737653912,103.07597705460569,82.88130346168938,78.90968706154115,211.61837462833626,75.99074457026826,63.60519527964034,85.75726089652942,109.99238930770701,137.8575519014703,89.10587498600944,181.5439425781447,90.98511007677122,64.43713638887249,138.58887766183375,144.46720528757476,142.5731915727247,85.6009914538536,90.48472569162459,87.06650019698986,281.40622100038956
Hubei Province,203.2580304476441,126.74521167971184,114.23299443763179,137.4944086472347,86.85938507402024,179.18869373159527,183.74410043862588,96.31960865356707,104.21712572951174,105.25297909148789,160.098918855749,141.92736305617083,104.52527597155537,88.40020394784509,113.53612235124825,109.60951366793766,110.73710355340168,181.63798176476294,124.45434185869402,52.52836555131388,161.3832253974034,58.10558049617363,73.65923363277372,109.97963967821804,113.58411740404523,81.9345250792071,66.10522010135755,161.69742002267373,76.24026601082437,151.33049556976061,102.43764734358888,114.07776179712386,70.62608007534898,149.19420958429237,126.40629119775664,95.47406555534144,110.9162492878427,135.86547197632365,84.9356673819518,126.94207429353577,151.0034756428364,128.36716140562757,141.9814913491987,108.08876976197902,150.72410264844757,164.18965548831397,115.88499007387688,94.49814965244909,152.7438715344905,146.2445357016964,115.53025617800778,165.2312672388942,242.0302117488701,84.5562245497812,89.12373681988981,155.19368634446562,159.93599979091854,189.76374141644064,171.34528295129593,117.28782221001401,136.77855672826078,272.6892303445235
Sichuan Province,90.60488887714747,55.53648248818553,63.467263789048715,63.522305547554836,24.631525534517646,73.13402019481333,80.3579920792277,38.13424079266426,66.85683771441234,73.95194929705812,66.42283264329596,91.24758810805318,51.12705713886002,28.383048506949653,61.80670747381761,56.00940624025492,56.80294048465473,80.33842784332464,51.22438905158603,32.19970607997619,54.99260272521221,19.436846365300717,15.678682588897765,36.401901183828144,44.58130333794116,33.219000107717626,18.73126000633741,43.618804343380006,35.70310100124661,49.575386976771355,35.06322092801378,50.45663872368573,25.61108164065038,91.75804110300145,46.06013876003378,62.6589643241702,70.35584536254933,32.59397550428675,32.38993424190648,43.57234264892804,73.78632724030665,55.87669224873907,56.23171953225524,51.03740736072186,42.11141846420491,150.72085040626,59.0652745140375,45.595549698559175,47.623079122930534,67.10692665026579,92.15355401998124,58.417225261574245,103.8949203554328,60.05281194105571,50.24369220182514,104.99158875594844,107.93731576663532,92.81954973179091,57.35486055466759,56.87918310542162,62.42250580667316,218.99693986081317
Anhui Province,214.43945050649083,130.09405156381655,109.34711686120022,179.86438159300124,99.53180857800966,217.37171848246146,251.08471329949967,109.42426937400381,125.63141470692045,106.76860746145671,194.1189553570236,102.1916574716042,130.99720925804888,88.35628781404304,106.62474355369687,127.78870210830542,117.12055133140497,219.62823610184805,143.08879625492472,56.363697502130414,148.73711106231923,63.33646397799855,100.17909948095492,122.8905590391924,116.33204857580377,91.6299422065697,73.50243783374289,162.95929766975655,66.88627285682844,167.84359009294656,110.89658417326604,116.89113368791607,76.30358503053927,215.68189304522872,140.1533360599793,127.0713820997647,129.33389020477446,161.57259761215292,84.16436350478821,140.50716871880283,156.20540726128237,148.42742506733117,143.43079793635292,144.97214373585004,166.55784823750275,182.78887052466632,141.28264655282263,101.14046160138994,144.6176190219937,178.2270422720823,120.51904974385002,183.76510107291185,269.92181069192463,82.87582139632482,85.40838766858349,177.75635110566446,188.46933314285084,197.94337977115987,155.51861485427725,134.23912661569614,140.22442513935235,301.5309837748391
