province,return_period,factual_original,factual_bootstrap_median,factual_lower_95,factual_upper_95,factual_valid_bootstraps,counterfactual_original,counterfactual_bootstrap_median,counterfactual_lower_95,counterfactual_upper_95,counterfactual_valid_bootstraps
Sichuan Province,1.01,1.2335791256421471,1.2260662400394258,1.1215069690204518,1.3271050999826823,1000,1.4637288341102825,1.458849186899457,1.3635650251155333,1.553967032711148,1000
Sichuan Province,1.0335597921543838,0.9906825697997071,0.9859221675802989,0.9096078581828266,1.0599328024333114,1000,1.2243939466853098,1.2228030725973977,1.1484640628512792,1.2954139952108454,1000
Sichuan Province,1.0576691524338744,0.8657137158906903,0.8625095031262033,0.7912786471165204,0.92834518266785,1000,1.1016659646556048,1.1004791254258246,1.0340789330654523,1.1660538824476117,1000
Sichuan Province,1.0823409003541173,0.7767082530020185,0.7740076860239508,0.7055496207220819,0.8380322881679605,1000,1.0144424991129108,1.0139801126895462,0.9511629929641533,1.0757337885097311,1000
Sichuan Province,1.1075881544655348,0.7059279326115763,0.704029612424506,0.6375624630492169,0.7663258229268222,1000,0.9451961708625682,0.9453629445870053,0.8832632997392503,1.00469422419863,1000
Sichuan Province,1.133424339328768,0.6463431887089384,0.6450237285810188,0.580930775028048,0.7072001382225871,1000,0.8869863875495021,0.8874457762516101,0.8244728996471343,0.9475113044012259,1000
Sichuan Province,1.1598631926528329,0.5944039338153424,0.5929273533896138,0.5316122604779872,0.6553579554963758,1000,0.8363099534228333,0.8368484764141828,0.7745223628975145,0.8952948028725479,1000
Sichuan Province,1.1869187725997843,0.5480516940033048,0.5466739122504036,0.48730925787746576,0.6074889901655535,1000,0.791136453196037,0.7918478605359909,0.7310440713780453,0.8500629597026742,1000
Sichuan Province,1.2146054652597715,0.5059798121899344,0.504674883136216,0.4466879440087171,0.5646295579372458,1000,0.7501774694915841,0.7511670990901798,0.690382510194708,0.808059361400748,1000
Sichuan Province,1.2429379923004635,0.4673038318315078,0.46669072578888904,0.40872421629395045,0.5247766455049668,1000,0.7125611139384636,0.7132332503984459,0.6542827298994544,0.7694436053278859,1000
Sichuan Province,1.2719314187949051,0.4313956034000323,0.4308719596059284,0.3722929257603692,0.4880667964382487,1000,0.6776682770030225,0.6781667293032039,0.6195139864664212,0.7337674349630344,1000
Sichuan Province,1.3016011612319731,0.39779203974065697,0.39736200813847383,0.33974631826235363,0.455105701133692,1000,0.6450425890191058,0.6455249920794073,0.5874752216875758,0.7012526388882032,1000
Sichuan Province,1.3319629957136858,0.3661414049572421,0.36565301752076096,0.3082725944989968,0.4232704258430914,1000,0.6143374327222082,0.6147324680445405,0.556800322658412,0.6703506851021113,1000
Sichuan Province,1.3630330663437302,0.3361699524678272,0.3358343455053855,0.27977076099301235,0.3918251136055507,1000,0.5852830385081869,0.5857011923311175,0.5286745800142959,0.6404680660065744,1000
Sichuan Province,1.3948278938116616,0.30766027832937587,0.30739386376790745,0.25056274850593246,0.3625771579814041,1000,0.5576651389025109,0.5581595983640284,0.5016160944514653,0.6121586831835554,1000
Sichuan Province,1.4273643841773445,0.2804367584293287,0.2801810915916264,0.22370751958787735,0.3347445733111126,1000,0.5313106110601027,0.5317469285144241,0.4757049221574259,0.5848838178017147,1000
Sichuan Province,1.4606598378603033,0.2543554479907702,0.25438137757146784,0.19937272377805068,0.3076243854417737,1000,0.5060775203536939,0.5067731663659978,0.4511693397671578,0.5588184182662567,1000
Sichuan Province,1.4947319588387633,0.22929689122780617,0.2292181893448217,0.17595439086363832,0.28154977527866787,1000,0.4818480336648818,0.482542690220483,0.42796231267820295,0.5338233746345654,1000
Sichuan Province,1.5295988640632745,0.20516088634749471,0.2050017340881708,0.15241556902298767,0.2572507224227343,1000,0.4585232605173124,0.459113494731823,0.406161504665075,0.5097066188210085,1000
Sichuan Province,1.5652790930899205,0.1818625989294446,0.18179702239521173,0.1299521058305017,0.2337093183023571,1000,0.4360194234054919,0.4366777610399292,0.38407571696898124,0.48597700619587414,1000
Sichuan Province,1.601791617938238,0.15932962666879028,0.15954415052635829,0.10898717663116932,0.2104148041489268,1000,0.4142649658040424,0.4148545560474223,0.3633252912981744,0.4636015457500996,1000
Sichuan Province,1.6391558531790886,0.13749974926306346,0.1376491865238443,0.0874424931414454,0.18852988654657146,1000,0.3931983353567664,0.3937441813404463,0.3445096189500452,0.44151144893213357,1000
Sichuan Province,1.6773916662578423,0.11631918103959132,0.11633717697900987,0.06681761486799213,0.1669450590169445,1000,0.372766262405083,0.3729911962584719,0.3238634973704034,0.4207606904609797,1000
Sichuan Province,1.7165193880583673,0.09574119905634738,0.09551636751766468,0.04659841012384753,0.14601122723995683,1000,0.35292240837866307,0.35291057201163467,0.30435929150015834,0.3998172027279536,1000
Sichuan Province,1.7565598237134417,0.0757250566448229,0.07534755271985905,0.026760614649164592,0.12559955709718557,1000,0.33362629527153626,0.33369503412815216,0.2848249793708228,0.38079066719967675,1000
Sichuan Province,1.7975342636673326,0.056235118314957075,0.05582435950986207,0.00800140147246617,0.10586844910790198,1000,0.31484245298846814,0.3146656325407684,0.26675126432402446,0.3624056757245997,1000
Sichuan Province,1.8394644949964274,0.0372401709796218,0.03686851548545937,-0.010001147681125753,0.08682643916828914,1000,0.2965397400727343,0.29648042412724923,0.24815830051242002,0.34432717431999266,1000
Sichuan Province,1.8823728129939368,0.018712882095249298,0.0180448805619028,-0.02922007599155302,0.06809315217108018,1000,0.27869080867130164,0.2786907686035407,0.23093867335700075,0.325934136057685,1000
Sichuan Province,1.926282033024828,0.0006293922720809475,0.00015222649439414378,-0.04684819285925814,0.04973422758385796,1000,0.2612717011866114,0.2614728461894985,0.212965511267471,0.30818194842748015,1000
Sichuan Province,1.971215502657292,-0.017030937803724597,-0.017179668669764267,-0.06533221081817608,0.031054292533883844,1000,0.24426159776949824,0.24428185730659305,0.1963749852136381,0.2912039237412111,1000
Sichuan Province,2.0171971140771983,-0.03428544789653021,-0.034486589437106877,-0.08255074707173476,0.01438060117185982,1000,0.22764289387454867,0.2273854785887849,0.18015533047561025,0.27462981686376925,1000
Sichuan Province,2.0642513167921304,-0.05114830055565665,-0.05164427562284933,-0.09945297485379256,-0.002510468751941158,1000,0.21140113427814436,0.21116013616336082,0.16431365133618633,0.2586342492312568,1000
Sichuan Province,2.11240313063177,-0.0676339957042292,-0.06847309882723038,-0.11598364596052067,-0.018915036759154298,1000,0.1955216543241573,0.19526756499681008,0.14877502012737423,0.24250273245696233,1000
Sichuan Province,2.1616781590515264,-0.08375763180912194,-0.08472042279008654,-0.13214325795319323,-0.03465104616873426,1000,0.17998936094327683,0.17973555044834977,0.13332791223229587,0.22644172141630065,1000
Sichuan Province,2.2121026027465014,-0.09953412899259755,-0.10055706312666807,-0.14849767415488396,-0.05048108582109404,1000,0.1647894648799586,0.16449914777301472,0.11792360048382103,0.21099153861676148,1000
Sichuan Province,2.2637032735830154,-0.11497795898642715,-0.11593539813562331,-0.16458316817013333,-0.06600187333982317,1000,0.1499077143873901,0.14956581007758224,0.10265702056213408,0.19603273301608465,1000
Sichuan Province,2.3165076088551086,-0.130103025405416,-0.13104300467236296,-0.18056323527982715,-0.08120267647120215,1000,0.13533048901013273,0.13496907200492303,0.0877087452884018,0.18104559899857825,1000
Sichuan Province,2.370543685873599,-0.14492261135629553,-0.1460434297352355,-0.19560149095037085,-0.09609558827664319,1000,0.1210448329199838,0.12068653336170883,0.07307174814066605,0.16727121184665392,1000
