distribution,mean_rank_sse,median_rank_sse,mean_sse,median_sse,win_count
genextreme,2.1,2.0,0.004561231898273422,0.0009472334589429549,4.0
gamma,2.6,3.0,0.004532520063893894,0.0009508462584176256,1.0
lognorm,2.9,3.0,0.004555637626713387,0.0009463794596387088,3.0
pearson3,3.4,3.5,0.0045325291573323715,0.0009508465426179451,0.0
weibull_min,4.0,5.0,0.004577779593500671,0.0009612870870109869,2.0
logistic,6.4,6.0,0.005455498148851076,0.0010640173357530187,0.0
norm,6.6,7.0,0.0055853726565623625,0.0010606630059990267,0.0
