,selected_percentile,event_threshold_cdd,RR,rel_intensity_change_percent,factual_exceedance_prob,counterfactual_exceedance_prob,factual_return_period
Sichuan Province,70.0,104.2850988,58.02453281788121,77.46706151427584,0.30400570854682846,0.0052392616326786545,3.2894119152567227
Chongqing Municipality,60.0,146.2943,75.46574567061162,90.55796087654511,0.41295647036212313,0.005472104816462967,2.4215627354696636
Hubei Province,75.0,195.13557,95.47268709515814,56.6706443083974,0.2552595519991417,0.0026736395482901106,3.917581113686835
Hunan Province,90.0,251.56960400000003,350.0,54.19207039641299,0.09806809334841779,0.00013547139984438426,10.19699645273193
Guizhou Province,20.0,26.519909199999997,119.55886951096805,167.10095508969275,0.796626611020484,0.006663049042525476,1.2552932404793675
