Province,M1_RR_point,M1_RR_2.5%,M1_RR_97.5%,M1_RIC_point,M1_RIC_2.5%,M1_RIC_97.5%,M2_selected_percentile,M2_threshold_cdd,M2_RR_point,M2_RR_2.5%,M2_RR_97.5%,M2_RIC_point,M2_RIC_2.5%,M2_RIC_97.5%
Sichuan Province,51.7786389115419,2.40424098975006,1435.9788670051,70.4963047507898,9.08755709381831,174.629513328751,55,94.752512,31.389839483505707,19.717468810780048,64.95732126271584,80.94455866232406,74.16578405408418,88.10964114354265
Chongqing Municipality,11.3697142159833,0.454467902258914,296.051810583316,39.4403758171046,-9.20671969982765,113.550096673169,45,133.575256,37.629722325089546,20.81904332664576,71.83407578649673,93.47987119803071,75.6967467535831,101.37357029227185
Hubei Province,17.6768787743389,1.30857723684815,589.426849737171,36.9979440145263,2.63689514509838,81.5714982664727,55,173.735652,27.464692133841606,12.800060957235946,58.66270777634464,60.381166390827296,53.752303734893886,77.76881408582548
Hunan Province,24.1269261457758,1.62800982531478,1137.20086563911,32.4280291436752,4.64173487569502,68.487709900621,45,194.39062800000002,31.808007780027395,16.082040507126457,71.37937942487599,67.400073465417,57.89677729109575,120.39655893100661
Guizhou Province,92.2618745753145,6.05272692375696,4803.66507035459,189.376195081104,49.0158324730735,506.23497356771,10,23.7059542,42.956078127313866,28.778559499787082,79.17380012028816,173.0785613018918,158.7441713745367,186.05414874234788
