Province,selected_percentile,event_threshold_cdd,factual_return_period,counterfactual_return_period,factual_exceedance_prob,counterfactual_exceedance_prob,RR_m2,RIC_m2
Sichuan Province,55.0,94.752512,2.227123558917193,69.90905102434465,0.44900966360671557,0.014304299448318456,31.389839483505707,80.94455866232406
Chongqing Municipality,45.0,133.575256,1.8126010488638336,68.20767415491213,0.5516933804197098,0.014661106867957654,37.629722325089546,93.47987119803071
Hubei Province,55.0,173.735652,2.2050339224719258,60.5605778253686,0.45350776231095913,0.0165123919868067,27.464692133841606,60.381166390827296
Hunan Province,45.0,194.39062800000002,1.7891930440716624,56.91066626580233,0.5589111825095756,0.017571398572799716,31.808007780027395,67.400073465417
Guizhou Province,10.0,23.7059542,1.1255000126671735,48.34706647642385,0.8884939926657418,0.020683778207880386,42.956078127313866,173.0785613018918
