Province,M1_RR_2.5%,M1_RR_point,M1_RR_97.5%,M1_RIC_2.5%,M1_RIC_point,M1_RIC_97.5%,M1_RP_factual_point,M1_RP_counterfactual_point,M2_selected_percentile,M2_threshold_cdd,M2_RP_factual_point,M2_RP_counterfactual_point,M2_RR_2.5%,M2_RR_point,M2_RR_97.5%,M2_RIC_2.5%,M2_RIC_point,M2_RIC_97.5%
Sichuan Province,2.40424098975006,51.7786389115419,1435.9788670051,9.08755709381831,70.4963047507898,174.629513328751,152.531730456234,7897.885393845977,55,94.752512,2.227123558917193,69.90905102434465,19.717468810780048,31.389839483505707,64.95732126271584,74.16578405408418,80.94455866232406,88.10964114354265
Chongqing Municipality,0.454467902258914,11.3697142159833,296.051810583316,-9.20671969982765,39.4403758171046,113.550096673169,118.671045034249,1349.2558677514953,45,133.575256,1.8126010488638336,68.20767415491213,20.81904332664576,37.629722325089546,71.83407578649673,75.6967467535831,93.47987119803071,101.37357029227185
Hubei Province,1.30857723684815,17.6768787743389,589.426849737171,2.63689514509838,36.9979440145263,81.5714982664727,49.753819638167,879.4922383042002,55,173.735652,2.2050339224719258,60.5605778253686,12.800060957235946,27.464692133841606,58.66270777634464,53.752303734893886,60.381166390827296,77.76881408582548
Hunan Province,1.62800982531478,24.1269261457758,1137.20086563911,4.64173487569502,32.4280291436752,68.487709900621,44.4543765439497,1072.5474597323825,45,194.39062800000002,1.7891930440716624,56.91066626580233,16.082040507126457,31.808007780027395,71.37937942487599,57.89677729109575,67.400073465417,120.39655893100661
Guizhou Province,6.05272692375696,92.2618745753145,4803.66507035459,49.0158324730735,189.376195081104,506.23497356771,47.2556395377551,4359.893888008633,10,23.7059542,1.1255000126671735,48.34706647642385,28.778559499787082,42.956078127313866,79.17380012028816,158.7441713745367,173.0785613018918,186.05414874234788
