Province,selected_percentile,event_threshold_cdd,factual_return_period
Sichuan Province,55,94.752512,2.227123558917193
Chongqing Municipality,45,133.575256,1.8126010488638336
Hubei Province,55,173.735652,2.2050339224719258
Hunan Province,45,194.39062800000002,1.7891930440716624
Guizhou Province,10,23.7059542,1.1255000126671735
