Province,shared_family_used,factual_params,counterfactual_params
Guizhou Province,genextreme,"(np.float64(0.11328060180023392), np.float64(30.433180851552265), np.float64(8.188017302319308))","(np.float64(0.09027415855078577), np.float64(11.679774687235543), np.float64(3.6835212277663367))"
Sichuan Province,genextreme,"(np.float64(0.13983045631210766), np.float64(84.10871056372048), np.float64(21.322823265472067))","(np.float64(0.07752879582833883), np.float64(45.44454650630169), np.float64(13.645162234025316))"
Hunan Province,genextreme,"(np.float64(0.21629484387168713), np.float64(187.3790374613783), np.float64(35.7742981109039))","(np.float64(0.12878357635470689), np.float64(110.873893870725), np.float64(26.551422750968577))"
Hubei Province,genextreme,"(np.float64(0.16778892737168216), np.float64(157.10321779894764), np.float64(34.42952542674525))","(np.float64(0.15930319527691525), np.float64(95.78135012939208), np.float64(25.914510877414482))"
Chongqing Municipality,genextreme,"(np.float64(0.14365543034282607), np.float64(126.41816764091604), np.float64(33.00466710595319))","(np.float64(0.08994869085998972), np.float64(64.75950212220334), np.float64(19.61574350224587))"
