Province,selected_percentile,event_threshold_cdd,factual_return_period,RR_mid,RR_lo,RR_hi,RIC_mid,RIC_lo,RIC_hi,n_rr_boot,n_ric_boot
Sichuan Province,55,94.752512,2.227123558917193,31.389839483505707,19.717468810780048,64.95732126271584,80.94455866232406,74.16578405408418,88.10964114354265,500,500
Chongqing Municipality,45,133.575256,1.8126010488638336,37.629722325089546,20.81904332664576,71.83407578649673,93.47987119803071,75.6967467535831,101.37357029227185,500,500
Hubei Province,55,173.735652,2.2050339224719258,27.464692133841606,12.800060957235946,58.66270777634464,60.381166390827296,53.752303734893886,77.76881408582548,500,500
Hunan Province,45,194.39062800000002,1.7891930440716624,31.808007780027395,16.082040507126457,71.37937942487599,67.400073465417,57.89677729109575,120.39655893100661,500,500
Guizhou Province,10,23.7059542,1.1255000126671735,42.956078127313866,28.778559499787082,79.17380012028816,173.0785613018918,158.7441713745367,186.05414874234788,500,500
