model,predictors,n_obs,n_params,r2,aic,delta_aic,rss
lag0,spi_6_lag0,100,2,0.28360660119560444,-27.545594718700183,40.64828665657815,72.94562049303164
lag0 + lag1,spi_6_lag0 + spi_6_lag1,100,3,0.3934975137205571,-42.197657516715495,25.996223858562843,61.756152787080815
lag0 + lag1 + lag2,spi_6_lag0 + spi_6_lag1 + spi_6_lag2,100,4,0.5415979721354189,-68.19388137527834,0.0,46.67605873204854
lag0 + lag1 + lag2 + lag3,spi_6_lag0 + spi_6_lag1 + spi_6_lag2 + spi_6_lag3,100,5,0.547907988983446,-67.57996796201134,0.6139134132669994,46.03355128422868
