Province,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hainan Province,144.84188641304300,135.71017923913000,99.70026847826090,127.61065663043500,103.21519695652200,134.405685,136.62561717391300,161.8754527173910,133.42806684782600,151.0579056521740,109.15980847826100,108.91566489130400,129.23884467391300,134.18684119565200,107.8850827173910,105.66127271739100,201.87637532608700,129.45935347826100,152.79966586956500,157.90435630434800,138.89734826087000,154.08302380434800,187.3856543478260,128.95263880434800,133.12934217391300,150.1358468478260,180.55577445652200,165.71428728260900,144.04714728260900,162.3327075,150.74982195652200,135.0230497826090,199.21139510869600,128.62092717391300,161.7410210869570,187.89850956521700,158.52372554347800,233.21879021739100,170.35235804347800,156.7833172826090,153.6646089130440,174.224115,188.0508961956520,185.72751097826100,176.91231130434800,187.0246144565220,185.33134663043500,156.13352608695700,181.75743586956500,207.2531318478260,185.65929391304300,173.3932584782610,155.6329695652170,210.72394565217400,235.8460956521740,226.71355010869600,212.48126021739100,150.7848231521740,245.7068742391300,249.9621417391300,245.53627826087000,214.96934836956500
Taiwan Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangxi Zhuang Autonomous Region,105.98932956521700,99.21152152173910,107.82937076087000,100.11969586956500,84.42750472826090,81.36515484782610,115.79818206521700,80.07975489130440,95.94433076086960,85.39554032608700,65.81135347826090,99.75201163043480,70.4110470652174,58.33771141304350,90.48548543478260,68.5237656521739,99.6358685869565,104.05038228260900,96.0346389130435,98.49912358695650,104.39425076087000,100.07755923913000,132.23622130434800,98.35008750000000,110.20798467391300,94.17329706521740,101.2220520652170,104.8437518478260,115.47387195652200,126.09329869565200,100.92945130434800,102.54895043478300,103.17768652173900,58.646862391304300,93.35766913043480,88.03241510869570,65.3180625,133.0400543478260,95.65792532608700,126.59789543478300,90.84564097826090,85.5327247826087,137.01129358695700,97.3012372826087,117.20428336956500,101.96097847826100,138.00605184782600,85.43487423913040,136.3877931521740,127.05435195652200,137.9767725,112.1668141304350,111.3913027173910,117.79130934782600,118.69422065217400,144.83162054347800,95.7710925,95.08389554347830,123.1240529347830,141.73946413043500,150.34832510869600,136.31829456521700
Fujian Province,76.13941304347830,68.63944108695650,55.19017301086960,65.81708139130430,40.62683021086960,59.50311407608700,83.26208054347830,51.18554308695650,64.50497647826090,56.38567177173910,82.2453172826087,45.309105978260900,40.11367891304350,40.59622056521740,42.494829456521700,44.10524807608700,62.23499060869570,70.01014754347830,77.25749380434780,80.21979097826090,64.6037661521739,52.69279959782610,76.85817847826090,56.27005141304350,35.78972791304350,61.19808505434780,65.73330772826090,87.96989934782610,68.06757326086960,75.60706402173910,86.30945413043480,52.283922456521700,63.65608043478260,65.71010934782610,49.64771152173910,64.18294532608700,28.966210434782600,99.36166891304350,44.79234847826090,58.53919500000000,63.49360695652170,64.14638967391310,130.4143933695650,76.78415054347830,81.55604680434780,89.31879782608700,94.401045,73.84073478260870,88.13612347826090,94.9497149347826,91.72853413043480,83.72699148913040,96.5702641304348,89.21994515217390,68.70113608695650,99.74717510869560,103.428405,78.15303586956520,88.68030945652170,127.65638054347800,93.84639260869570,138.67944554347800
Yunnan Province,3.1738199673913000,1.8352619413043500,2.584730729347830,2.2828340641304300,0.7718321431663040,2.8422823891304300,3.3174214239130400,0.7462404195652170,2.038608860869570,2.5867063369565200,2.572526015217390,4.5134325391304300,1.431954577173910,0.670514116304348,1.7029715282608700,2.180202525,2.6074751086956500,3.0405629739130400,2.038963588043480,1.7604077380434800,2.1270444065217400,0.9126826630434780,1.1351098076087000,1.434453847826090,1.3895653959782600,1.1000662728260900,0.8632997021739130,2.510687836956520,1.7458756239130400,1.695349056521740,1.6161867684782600,2.9430306293478300,1.5034911554347800,3.3189190434782600,1.8674435739130400,1.7864649782608700,2.188195170652170,1.4835962445652200,1.1377228304347800,1.5871902260869600,2.4075860967391300,1.826344985869570,3.04929840326087,1.6754655717391300,1.383489772826090,6.290864833695650,2.1262876141304300,1.4473438826087000,2.268557197826090,3.646693125,5.932492376086960,2.2000012082608700,4.258453822826090,2.181211141304350,2.076534831521740,4.401212732608700,4.457406697826090,2.86182082173913,2.4812303478260900,2.143738154347830,2.4320977826087000,12.85236263152170
Guizhou Province,35.256601956521700,19.00319869565220,19.217650597826100,25.750464857608700,9.158438136521740,29.042431141304300,23.116904706521700,8.05439940652174,16.338341347826100,18.226943765217400,25.07638832608700,33.45280689130440,12.601086652173900,6.867708701086960,20.030695923913000,15.872112635869600,17.57693025,27.626147217391300,15.36909098478260,12.568424184782600,29.821422326087000,10.979521963043500,10.540645923913000,14.905515228260900,15.887425030434800,10.610186380434800,7.97632777173913,24.400813402173900,18.860754913043500,20.053165441304300,11.422131847826100,24.274154445652200,9.586079021739130,22.048661739130400,18.893204510869600,14.170904413043500,15.858620814130400,14.42332702173910,9.440941108695650,12.511498304347800,19.625567673913000,13.025819934782600,30.552790558695600,13.974596608695700,20.115110152173900,42.54841848913040,16.446830380434800,10.18283840217390,22.312970804347800,31.30733680434780,38.19543965217390,17.814054404347800,48.410387021739100,16.380590673913000,12.651967858695700,31.11575986956520,34.07824953586960,28.960947293478300,20.454408000000000,21.24041468478260,27.04293586956520,77.25815148913040
Jiangxi Province,194.0856534782610,156.32444406521700,150.9261554347830,149.4983788043480,102.42988288043500,145.0530185869570,194.882857826087,116.68898015217400,122.26602883695700,118.48404766304300,193.57639043478300,119.01563706521700,111.95201543478300,77.92664135869570,106.79213445652200,118.13899108695700,109.33829315217400,189.85170913043500,147.3600644021740,111.0347804347830,167.6320972826090,105.62111501087000,136.7319335869570,139.47509445652200,120.37121510869600,119.1828247826090,115.21352054347800,182.19943858695700,126.8039406521740,170.02985282608700,162.3269641304350,122.23573992391300,94.67106456521740,142.37435641304300,121.26499141304300,117.58625119565200,63.45603489130440,167.1064350652170,73.73368858695650,136.6005913043480,126.77873184782600,117.8141879347830,218.6779656521740,127.3643618478260,167.30032989130400,174.03472076087000,179.62642760869600,149.8104107608700,178.21720565217400,169.7634097826090,159.6990120652170,165.72919402173900,229.1564993478260,113.15252445652200,106.66591434782600,188.49347217391300,164.55041970652200,174.4097165217390,169.53651489130400,181.8562206521740,170.58770510869600,259.7109583695650
Hunan Province,190.08407445652200,142.3097227173910,172.10626336956500,149.65650489130400,117.12681547826100,153.2495797826090,164.33979260869600,97.41510714130440,109.26416445652200,103.04444641304300,157.04284597826100,148.62150097826100,97.99420695652180,84.74751978260870,118.82075869565200,109.04031518478300,116.42287402173900,170.98881456521700,128.36850652173900,95.6343756521739,177.31011032608700,103.26852626087000,122.35396500000000,138.0869070652170,133.59745076087000,96.03486586956520,105.40261271739100,156.22058152173900,120.7456786956520,153.8926982608700,132.88862641304300,129.49342826087000,82.65676108695650,111.26029989130400,135.77671956521700,97.74598206521740,89.59093336956520,173.24005744565200,69.09176641304350,135.36452543478300,133.2858658695650,104.67271760869600,192.20821239130400,102.40693826087000,159.96242054347800,152.24092336956500,162.6267061956520,126.4077958695650,175.8729013043480,176.58571157608700,149.0348934782610,147.773475,249.79279695652200,89.78086565217390,93.2793554347826,168.17581663043500,155.9981303804350,164.89778478260900,160.25036576087000,161.09841423913000,180.27578543478300,258.6337131521740
Zhejiang Province,158.8619377173910,99.64429121739130,94.69908254347830,129.79584723913000,80.90535375000000,118.93684304347800,161.94652894565200,75.69995331521740,90.27091072173910,89.27382106956520,172.1471791304350,61.11884543478260,80.57567430000000,61.56715167391300,77.85384652173910,88.96775722826090,88.87692101086960,140.94212478260900,97.55318739130440,69.39323217391310,96.23561282608700,55.35061990434780,88.05018277173910,97.69898250000000,76.66733377173910,91.1302845652174,82.87628938043480,132.04074423913000,61.20476510869570,144.9007493478260,101.55155380434800,85.2211320652174,76.33081173913040,166.7150158695650,118.84586713043500,101.84631652173900,71.03196939130430,157.49250358695700,39.59352586956520,111.1824870652170,117.49009108695700,82.80641445652180,184.83977915217400,137.06241495652200,142.30378565217400,162.350722173913,172.96068130434800,129.38270380434800,130.0374097826090,142.53824230434800,133.7553313043480,141.46268918478300,224.9949179347830,75.19931510869570,80.90473402173910,171.82284260869600,187.3250735869570,143.69491418478300,116.71623489130400,146.33799945652200,116.02421510869600,261.46844706521700
Shanghai Municipality,178.31787975,111.74815203260900,111.43487083695700,157.15669069565200,97.52190026086960,144.5622306847830,178.2242761304350,78.43799915217390,101.00415204391300,98.4346196576087,202.51665195652200,65.53092198913040,104.57736860543500,74.68336432899540,106.86712519565200,94.69173824021740,97.92216880434780,179.16226532608700,94.1535465652174,63.78878347826090,115.70903461956500,56.93272089013010,107.50175217391300,116.01748389130400,102.85504757608700,98.80326782608700,97.69632613043480,129.66832858695700,57.80651409782610,183.66461021739100,97.446465,104.10135237978300,72.21381554347830,207.55013967391300,155.48896506521700,112.34688652173900,103.01095046739100,201.37543747826100,48.045695576087000,146.4040379347830,150.73102760869600,97.36479635869560,183.52468369565200,182.68727380434800,184.48070380434800,218.4189202173910,210.9448682608700,175.76547309782600,140.9294563043480,196.17441065217400,165.94763086956500,182.98388054347800,307.6463778260870,74.73833119565220,102.80804576087000,203.69694423913000,250.0174130184780,187.20598402173900,132.99694493478300,155.20605163043500,141.14845956521700,306.73469739130400
Chongqing Municipality,152.78544782608700,83.08654043478260,87.92470271739130,106.20387557608700,36.701705543478300,117.21958923913000,108.27750032608700,51.87883402173910,88.86465919565220,97.76082560869570,116.90541000000000,126.52631413043500,78.08235652173910,40.934580456521700,91.85417804347830,87.15458435869570,80.42475854347830,119.55887119565200,74.66697782608700,51.94276385869570,99.33149054347830,33.8702950173913,30.978791315217400,58.4165347826087,67.03130758695650,48.41847586956520,30.11260460869570,78.18245413043480,63.574495434782600,87.74188630434780,50.16780538043480,85.10350695652170,35.472770902173900,115.91670423913000,71.20526145652170,78.57525619565220,90.73981173913040,48.72689315217390,48.11686972826090,50.274799728260900,91.60942793478260,60.013481086956500,93.10802566304350,74.86404945652170,71.37768913043480,194.8357604347830,71.33330680434780,58.70167336956520,78.04659521739130,100.25336925,126.28980586956500,81.0582726521739,164.0119910869570,82.98357358695650,59.96680630434780,128.86935945652200,135.06963691304300,130.41754141304300,79.07470366304350,81.79245782608700,81.21619076086960,263.3271172826090
Hubei Province,190.55681217391300,119.45225347826100,108.3396570652170,130.0031941304350,81.31013510869570,166.73373195652200,173.15618576087000,89.97826304347830,97.18337739130440,98.8738906304348,152.25115402173900,129.31979380434800,98.86880934782610,81.61451804347830,104.96653630434800,103.21710984782600,102.67338423913000,170.1779664130440,116.36247032608700,50.615832913043500,150.97193217391300,57.02432243478260,71.66962291304350,103.64504184782600,106.20938083695700,78.36555130434780,64.11592144565220,151.4570204347830,74.16829663043480,141.70282923913000,97.0482922826087,108.61240108695700,65.64272086956520,139.48311130434800,117.67030141304300,89.11560717391310,100.31610130434800,126.96965902173900,75.88596423913040,119.42388097826100,139.22637652173900,117.60646989130400,136.4353552173910,101.05508934782600,140.65485065217400,155.06381152173900,110.50237467391300,90.77071304347830,144.0173856521740,137.72021869565200,109.31126184782600,151.6871064130440,227.7798075,77.62254945652170,83.04123423913040,146.22367695652200,148.92562252173900,174.3269527173910,157.57982608695700,109.80674608695700,127.7098239130440,256.13138152173900
Sichuan Province,95.64018456521740,56.83907250000000,63.94444826086960,67.17865685869570,25.28425010543480,76.00349641304350,80.5078411630435,38.63280472826090,67.03462467391300,74.18044623913040,71.20776032608700,91.94259326086960,53.376492032608700,29.056118967391300,63.53482235869570,58.41082418478260,57.55883380434780,82.52615836956520,52.56700767391310,33.9114876847826,58.9316977173913,20.65283526521740,17.453316717391300,38.06372308695650,45.606342061956500,33.942166141304400,19.436711086956500,46.931635271739100,38.03902972826090,52.853403130434800,35.50271380434780,52.74620745652170,25.694268554347800,90.28052276086950,47.71014466304350,61.64041402173910,69.5771024673913,33.37871556521740,33.26467656521740,41.88825909782610,72.34862067391310,52.95480769565220,58.80199323913040,52.17838669565220,44.34343434782610,149.14869260869600,57.80697260869570,45.083023630434800,49.40083369565220,68.41217533695650,91.88654282608700,58.55244505434780,107.44330010869600,60.44784456521740,48.86172547826090,102.33054880434800,105.70434094565200,93.53150902173910,57.305968239130400,57.65825739130440,61.52112361956520,211.9949589130440
Anhui Province,198.14828673913000,122.61370754347800,103.63782228260900,170.75943880434800,93.07883445652170,209.7321622826090,231.6222136956520,102.3391702173910,117.48192358695700,99.38175456521740,180.44802880434800,93.528675,124.0464306521740,84.07819076086960,101.65649478260900,116.48271913043500,110.34406663043500,202.4229179347830,130.91867021739100,52.38334936956520,136.44640369565200,58.37461336956520,94.42222023913040,110.16270293478300,106.67822233695700,88.59192847826090,70.81029782608700,151.56422902173900,61.98968690217390,158.15775423913000,102.8465706521740,108.94833195652200,72.41828184782610,206.35278260869600,131.9266154347830,120.69886891304300,123.0148027173910,153.8710581521740,78.53328684782610,131.5127866304350,144.79943869565200,140.45060250000000,132.69982108695700,140.60748423913000,156.33509673913000,171.1554456521740,133.88619717391300,96.47683434782610,134.55667858695700,172.72844804347800,113.48652130434800,169.78115739130400,261.33011217391300,80.00356402173910,83.61233804347830,172.84813826087000,187.29453130434800,197.68167880434800,151.76454065217400,131.8134570652170,135.6505845652170,292.93813369565200
