province,shared_family,factual_sample_size,counterfactual_sample_size,factual_empirical_mean,counterfactual_empirical_mean,factual_empirical_std,counterfactual_empirical_std,factual_parameters,counterfactual_parameters
Guizhou Province,gennorm,525,525,0.014836754440472081,0.16371739132182972,0.5085884380792018,0.511985721037787,"(np.float64(1.8338684998190407), np.float64(0.0185495927415662), np.float64(0.684482701073873))","(np.float64(2.424614743678172), np.float64(0.16257897096806923), np.float64(0.786315446295621))"
Chongqing Municipality,gennorm,525,525,-0.08772086644458062,-0.011148723635891328,0.5801340172440391,0.5744931697891256,"(np.float64(1.860399124041276), np.float64(-0.08985923681081283), np.float64(0.7874275741950646))","(np.float64(2.0859407253771396), np.float64(-0.009544407213413163), np.float64(0.8288784209045291))"
Sichuan Province,gennorm,525,525,-0.021126269347171107,0.23678939664874352,0.5596059424211569,0.5433794124126942,"(np.float64(2.295140617769386), np.float64(-0.027925180256846645), np.float64(0.8421409843867336))","(np.float64(2.2521562664533525), np.float64(0.2337687858668211), np.float64(0.8112508521577606))"
Hubei Province,gennorm,525,525,0.0337599199810487,0.14211640873191922,0.5511954927521268,0.5468352500175375,"(np.float64(2.4371276466631913), np.float64(0.03479700845089155), np.float64(0.8478747450905707))","(np.float64(2.74003686277097), np.float64(0.1363010486044292), np.float64(0.8746810101984801))"
Hunan Province,gennorm,525,525,0.016354945802712833,0.20641591412875643,0.6079847975952434,0.5777304568918085,"(np.float64(2.7006972119511445), np.float64(0.011937274859938266), np.float64(0.9669878065930532))","(np.float64(2.360001979283459), np.float64(0.1984511163951384), np.float64(0.8791823230526269))"
