distribution,datasets_fitted,mean_rank_sse,median_rank_sse,mean_sse,median_sse,maximum_sse,win_count
gennorm,10,3.0,1.5,0.26108722079498686,0.27108079081021486,0.36164756785667607,5.0
pearson3,10,3.5,3.0,0.26843439021943116,0.2565823928014033,0.40618065294593747,2.0
skewnorm,10,3.7,4.0,0.26858808068095513,0.25427079530168906,0.4055501543699328,0.0
johnsonsu,10,3.8,4.0,0.2683997027939122,0.25450133174604894,0.40602219563918884,2.0
genextreme,10,4.0,4.0,0.2777772032785513,0.2688053247602256,0.39317254410752256,1.0
t,10,4.7,5.0,0.27749662947801434,0.26989487554408453,0.40552258279220493,0.0
norm,10,5.6,6.0,0.2781768288014169,0.26989500218237683,0.405522825555253,0.0
logistic,10,7.7,8.0,0.3375146328190163,0.31328001207868117,0.521429014420195,0.0
