"","est","2.5%","97.5%"
"mu0",3.89290977326447,3.72226820559228,4.03362802986401
"sigma0",0.378329448159483,0.314887806958223,0.425515252237192
"alpha_GMST",0.572685637600342,0.303927144426228,0.869970055736779
"disp",0.0849524516173003,0.0703171037189736,0.0958448288258457
"event_magnitude",108.445302668832,108.445302668832,108.445302668832
"return_period",3.71541808349546,2.26928136230246,8.46841685879046
"PR",35.8347199957439,6.95272202974729,524.555767353639
"dI_abs",53.9004603674814,33.1412617413,70.2664274913713
"dI_rel",98.8186198608678,44.0100668247453,184.045590616671
"aic",570.093589612708,544.141635633307,587.001993012525
"n",62,1000,0
