"","est","2.5%","97.5%"
"mu0",-5.77863350800799,-5.83072905244116,-5.7246820212072
"sigma0",0.132879551381624,0.108921121385251,0.151773424033844
"alpha_GMST",0.462655085455721,0.3590035710934,0.568430586708735
"disp",-0.024950112086269,-0.0283351788252579,-0.0205071461801492
"event_magnitude",0.00445182955434783,0.00445182955434783,0.00445182955434783
"return_period",1.33759017050061,1.09487705684067,1.81340573819689
"PR",3350.82371055797,330.127035829478,182985.131853718
"dI_abs",0.00189663326841009,0.00155819883147261,0.00220121747574861
"dI_rel",74.2265194595033,53.8496194669997,97.8067729601166
"aic",-763.909553216484,-787.915325145821,-748.017313675523
"n",62,500,0
