"","est","2.5%","97.5%"
"mu0",4.67963977564249,4.54472201143575,4.80159997328198
"sigma0",0.370742023128964,0.298519677449177,0.430286833252803
"alpha_GMST",0.57539550977013,0.308077250741422,0.854559328928455
"disp",0.0707143976679147,0.056506052279252,0.0833637167205262
"event_magnitude",320.598655517269,320.598655517269,320.598655517269
"return_period",12.9132139166097,6.12378415220891,47.5607728901815
"PR",151.824319106973,13.2561401370363,13276.9259034859
"dI_abs",159.870343781604,99.0820696172312,205.623178774096
"dI_rel",99.4661998593799,44.7289970169774,178.840905727544
"aic",665.259360161584,637.928395527725,684.328292834508
"n",62,1000,0
