"","est","2.5%","97.5%"
"mu0",2.78580366118575,2.52261180847822,2.9982240048783
"sigma0",0.629921861014905,0.500582426698962,0.739029449946858
"alpha_GMST",0.232545293437836,-0.281595629607395,0.737360986719242
"disp",0.20903972792502,0.160870432357421,0.256275114351034
"event_magnitude",60.2431098487623,60.2431098487623,60.2431098487623
"return_period",23.5304897777036,8.45572744647616,162.601339602212
"PR",2.79990536116991,0.265398007559369,31.5361140112265
"dI_abs",14.6692704567572,-24.2190651364019,35.3757120985304
"dI_rel",32.1879188860498,-28.6743318385479,142.258657995862
"aic",480.618080385048,453.926131030629,499.581903763055
"n",62,1000,0
