"","est","2.5%","97.5%"
"mu0",4.86629957190914,4.81239951165088,4.91637581261872
"sigma0",0.135025976183002,0.105795299599339,0.157459707131391
"alpha_GMST",0.551207735760767,0.451973713832486,0.663017625614616
"disp",0.0249780090079682,0.0195076492299594,0.0292379609262367
"event_magnitude",207.734766752807,207.734766752807,207.734766752807
"return_period",1.43532313653519,1.13506662766741,1.99621959203829
"PR",119436.950939656,3547.65846701359,136116072.453133
"dI_abs",100.522269227115,86.964057195621,113.98389292543
"dI_rel",93.7598428793492,72.0076200235727,121.581699277459
"aic",562.059341165625,532.000463254595,580.034651476282
"n",62,1000,0
