"","est","2.5%","97.5%"
"mu0",4.51352825050273,4.35834620958251,4.64585556678754
"sigma0",0.365650597063111,0.288535820046996,0.426972092501167
"alpha_GMST",0.238788507232516,-0.0571321740785246,0.532345449691193
"disp",0.0770237869822681,0.0602279009274725,0.0902930428426271
"event_magnitude",241.022702729914,241.022702729914,241.022702729914
"return_period",45.8105778760066,15.0021625406926,461.040538805084
"PR",8.57026661321682,0.557665200265309,291.331692264687
"dI_abs",60.0502323093914,-17.1039606178521,113.78250870183
"dI_rel",33.1819708101756,-6.62606465259546,89.4234008723903
"aic",627.6933120203,598.032092327729,647.28129016916
"n",62,1000,0
