"","est","2.5%","97.5%"
"mu0",4.61955416079593,4.54740731119814,4.68185149895532
"sigma0",0.184423182694061,0.144159743720302,0.214571057020533
"alpha_GMST",0.340259096071147,0.207331634415248,0.475203615391146
"disp",0.0372377788916217,0.0287962661679903,0.0435448994789162
"event_magnitude",151.056757121977,151.056757121977,151.056757121977
"return_period",2.76165123378478,1.78315200028209,4.98810846867477
"PR",70.5634850051702,11.5084703083201,1123.38121292585
"dI_abs",50.6384305792492,33.272138365444,65.6511884655344
"dI_rel",50.4274790495564,28.2482911083064,76.869916469257
"aic",560.564888443186,532.31405253062,577.742195636917
"n",62,1000,0
