"","est","2.5%","97.5%"
"mu0",0.0146676283143831,-0.59758192587233,0.603823207486685
"sigma0",1.48271349670659,1.12012131752999,1.76952095704677
"alpha_GMST",1.93004823560202,1.08591449328629,2.86205460395944
"disp",0.778857763673467,0.536814672350962,1.14717814748408
"event_magnitude",4.64459228428096,4.64459228428096,4.64459228428096
"return_period",1.67222007049409,1.3679908389207,2.18574699051436
"PR",6.33154995915607,3.13642529195184,18.5780215030362
"dI_abs",4.18634865264165,3.3827060018216,4.49483830778944
"dI_rel",913.563956724411,268.068483658597,3001.48452791372
"aic",320.07128538525,276.612388547882,353.663949437799
"n",62,1000,0
