"","est","2.5%","97.5%"
"mu0",-0.398837536203014,-0.958761037521332,0.131994742490999
"sigma0",1.45758334320162,1.12007140964528,1.76913456572395
"alpha_GMST",2.12048803912947,1.28234531171496,3.06550164778509
"disp",0.869373576134969,0.601904472675996,1.35150601910037
"event_magnitude",2.60306190553992,2.60306190553992,2.60306190553992
"return_period",1.45072194939447,1.216896744188,1.82868134388719
"PR",6.54547241518163,3.11061846361536,18.7279757724386
"dI_abs",2.39870703579525,2.04435216032504,2.53731308288085
"dI_rel",1173.7948984491,365.906673217308,3859.10084144009
"aic",275.304786687053,224.517928974144,313.281994334552
"n",62,1000,0
