"","est","2.5%","97.5%"
"mu0",4.55303172528539,4.38985905047751,4.69932620964943
"sigma0",0.39430487866333,0.316845554851138,0.450310605839154
"alpha_GMST",0.444324259819091,0.129391093204869,0.753761522959096
"disp",0.0790520581697777,0.0627501443145981,0.0911747765009226
"event_magnitude",287.567304097115,287.567304097115,287.567304097115
"return_period",22.8301699431032,9.61283710732631,123.292694715066
"PR",39.63250574844,3.08166663910489,2567.22405138901
"dI_abs",118.842700324539,41.3565715944205,171.177644015143
"dI_rel",70.4359042293131,16.7972681042463,147.073190393697
"aic",651.261082865312,621.859755137549,670.03302259906
"n",62,1000,0
