"","est","2.5%","97.5%"
"mu0",3.7800689827971,3.58538557411714,3.95136938645864
"sigma0",0.440811969617252,0.358953443771033,0.500187800975791
"alpha_GMST",0.973493931111069,0.670243484355833,1.2909517930849
"disp",0.0931382831316479,0.0753148621824186,0.106476343592941
"event_magnitude",129.166425818803,129.166425818803,129.166425818803
"return_period",2.5935642888773,1.8300537796279,4.39889325368621
"PR",235.694088483054,37.8474517319186,5744.9661276403
"dI_abs",89.0049196789894,71.3767723249385,101.727574674582
"dI_rel",221.617484586206,123.511441834176,370.743203276459
"aic",593.218542494222,566.868810121141,611.603006500266
"n",62,1000,0
