"","est","2.5%","97.5%"
"mu0",2.74101466841945,2.62526873306633,2.84895926149938
"sigma0",0.307675137406606,0.233428922676493,0.376947638505376
"alpha_GMST",0.590361454450371,0.368463530330251,0.808112489435037
"disp",0.0927058766517496,0.069007705088751,0.116722159137959
"event_magnitude",43.0744659252142,43.0744659252142,43.0744659252142
"return_period",13.4312175965731,6.32742464836809,57.4038103591204
"PR",828.556720088948,46.8143817477806,489813.398498986
"dI_abs",21.8639596427943,15.3926938690353,26.7413380457122
"dI_rel",103.080800390494,55.6058835788055,163.724555370356
"aic",402.426810027997,369.636134418939,423.758764954987
"n",62,1000,0
