"","est","2.5%","97.5%"
"mu0",3.83055920649808,3.63172883804623,4.00316224503106
"sigma0",0.45282448359198,0.359938499487662,0.524806311760784
"alpha_GMST",0.444619531237268,0.0724838584746632,0.841877306981049
"disp",0.106154027113324,0.0857812254030599,0.12282466308908
"event_magnitude",218.996939860813,218.996939860813,218.996939860813
"return_period",152.531730456234,26.0661848271652,5642.92226222524
"PR",51.7786389115419,2.40424098975006,1435.9788670051
"dI_abs",90.5502030350997,18.2435685960088,139.254256017363
"dI_rel",70.4963047507898,9.08755709381831,174.629513328751
"aic",578.846305788358,550.504335690779,599.344864292822
"n",62,1000,0
