"","est","2.5%","97.5%"
"mu0",0.462642605371326,0.124294999779392,0.760293586485929
"sigma0",0.923905053927078,0.720963442717968,1.0776162885605
"alpha_GMST",1.41072922175255,0.855170165326065,2.00223866264637
"disp",0.501197827400468,0.368680838624643,0.675054537395885
"event_magnitude",5.26625155964801,5.26625155964801,5.26625155964801
"return_period",1.72976229224206,1.35550106828406,2.4562336179147
"PR",11.3355445327427,4.65251132604102,39.2568219116589
"dI_abs",4.29731509348181,3.3790130923051,4.78978833359826
"dI_rel",443.508449061167,179.045369833918,1005.28603912778
"aic",293.429840669202,257.673900811108,322.938816369024
"n",62,1000,0
