"","est","2.5%","97.5%"
"mu0",0.529415445212283,0.301047723759649,0.70734705111684
"sigma0",0.485932710487804,0.386600543542353,0.548002996923665
"alpha_GMST",0.613311765135726,0.168579952777564,1.11015052172867
"disp",0.430145278156788,0.345457826882278,0.541568569989188
"event_magnitude",12.8523626315217,12.8523626315217,12.8523626315217
"return_period",590.233682885007,60.9375540352868,176598.62993505
"PR",384.926274571601,7.67359045428083,41162.2314317762
"dI_abs",6.69558494000716,2.35382032208821,9.46013313283247
"dI_rel",108.751448817702,22.4216014149532,278.982867268162
"aic",185.899802139342,147.598722560656,210.203370099066
"n",62,500,0
