"","est","2.5%","97.5%"
"mu0",3.53862826352194,3.47118602509289,3.60691026634812
"sigma0",0.164199422147142,0.139224844090133,0.18408214136291
"alpha_GMST",0.557807031342555,0.426701399260272,0.68670409947883
"disp",0.0401998109250152,0.0341042537388738,0.0449479289417949
"event_magnitude",69.5667785712226,69.5667785712226,69.5667785712226
"return_period",5.93772660208094,3.08767739695653,18.2609526243791
"PR",712311.710358111,17339.2544385614,697690009.023657
"dI_abs",33.9463718406606,27.877434052552,39.051050286212
"dI_rel",95.3003487507485,66.8694848475366,127.970246564211
"aic",421.986846853062,399.888066085333,438.004359483363
"n",62,1000,0
