"","est","2.5%","97.5%"
"mu0",1.28474617657972,0.983600499851583,1.53406194180486
"sigma0",0.714693370757596,0.559086857374554,0.840903901329147
"alpha_GMST",0.592218360031446,0.126644474865783,1.11275040710462
"disp",0.383341050508145,0.283006406267762,0.505174779742792
"event_magnitude",17.0525344705448,17.0525344705448,17.0525344705448
"return_period",11.5036206092365,5.28987336970245,43.7978170735289
"PR",9.36779868557125,1.74677289394775,114.850696328548
"dI_abs",8.67430333996407,2.4042155800087,12.5663687225157
"dI_rel",103.53382718582,16.4129357352318,280.113808657438
"aic",326.442397541256,296.231917520837,348.584496141952
"n",62,1000,0
