"","est","2.5%","97.5%"
"mu0",2.57220558176641,2.28523066540363,2.82456964005537
"sigma0",0.653252216950374,0.552814532946155,0.723882878533798
"alpha_GMST",1.12410743416754,0.663102841611379,1.60709852476903
"disp",0.17788030159253,0.147195360821967,0.203996581029453
"event_magnitude",49.1917795871042,49.1917795871042,49.1917795871042
"return_period",2.73045208972893,1.8600297761603,4.79348852267184
"PR",45.5120601418987,8.22164766656783,901.398680488313
"dI_abs",36.4256235838343,26.9937567031411,42.0410909806444
"dI_rel",285.329613507027,121.604376296568,587.931163157367
"aic",499.048867230246,466.117780452658,522.261548804987
"n",62,1000,0
