"","est","2.5%","97.5%"
"mu0",3.97200079529809,3.87391588708495,4.06499367046375
"sigma0",0.257057422323908,0.196238521904716,0.312397133184477
"alpha_GMST",0.672853729562869,0.4927551923393,0.852362696799313
"disp",0.055513289834116,0.042617338292774,0.068298224649062
"event_magnitude",134.50445397992,134.50445397992,134.50445397992
"return_period",6.8563432430965,3.65819539496218,18.3118491834628
"PR",10710.1360883383,341.143235610422,6221745.79703258
"dI_abs",74.5147565419916,60.0422929903322,86.1401470255123
"dI_rel",124.21258936852,80.6346393687722,178.106859567986
"aic",536.51961160016,505.409222188124,558.9029768843
"n",62,1000,0
