"","est","2.5%","97.5%"
"mu0",4.7058260816592,4.57636048668995,4.8163787394302
"sigma0",0.314738256237251,0.252570878402211,0.363982503138648
"alpha_GMST",0.262329777111821,0.0216893730475872,0.49706594987971
"disp",0.0634222861675817,0.0507586336832109,0.0731684096446014
"event_magnitude",272.689230344523,272.689230344523,272.689230344523
"return_period",49.753819638167,15.3896123562354,434.51244228597
"PR",17.6768787743389,1.30857723684815,589.426849737171
"dI_abs",73.6430093913028,7.00577436881963,122.506337616413
"dI_rel",36.9979440145263,2.63689514509838,81.5714982664727
"aic",634.012610361917,606.122108403413,652.760390147586
"n",62,1000,0
