,delta_imbalance_mean,delta_imbalance_median,delta_imbalance_2.5%,delta_imbalance_25%,delta_imbalance_75%,delta_imbalance_97.5%,delta_imbalance_P_gt_0
Guizhou Province,5.716093327785454,5.554752753075293,0.5674078989656952,3.7367302063740127,7.39626059330126,12.112025340795194,0.9847619047619047
Sichuan Province,1.9776193168855418,1.903047466211535,-0.86918631442889,0.8577196301674243,3.0662941016991683,5.336668816893765,0.9028571428571428
Hunan Province,2.5714216745151415,2.571554833308643,-1.2837142623615776,1.2484602699361949,3.8026114662486634,6.562225579991986,0.92
Hubei Province,2.1179009555755695,2.0715955735665004,-1.2584595038093196,0.8595159870677243,3.30325017196993,6.1519558718244225,0.88
Chongqing Municipality,2.033852738485599,2.0515842858768556,-0.9313659387752676,0.8182229023730486,3.1032140551159504,5.466726032679231,0.8895238095238095
