,demand_CF_mean,demand_CF_median,demand_CF_2.5%,demand_CF_25%,demand_CF_75%,demand_CF_97.5%,demand_CF_P_gt_0,demand_F_mean,demand_F_median,demand_F_2.5%,demand_F_25%,demand_F_75%,demand_F_97.5%,demand_F_P_gt_0
Guizhou Province,2.1712692938460614,2.0384406027667628,0.37411982937741445,1.3109235109589468,2.8655403384461806,4.738739822324902,0.9961904761904762,7.738481984750159,7.4635604261317825,3.753416775912234,5.913654223608556,9.16993879829702,13.354062870752562,1.0
Sichuan Province,0.007357108190350489,-0.07969321929034319,-1.0496527119607502,-0.47920052323810963,0.38173845805149254,1.5514454921546486,0.46476190476190476,1.7270607590799754,1.6413846819548235,0.026466682344821905,1.0162199956616713,2.2614988876117543,3.926566139846872,0.9771428571428571
Hunan Province,-0.5274317300971839,-0.6284944392802978,-2.0407862499661467,-1.151518477870433,0.07164500877478225,1.3583776959083376,0.25523809523809526,1.8539289760919149,1.7726959327056395,-0.18055402171211948,1.0157252513457158,2.6470810591417577,4.165715443977128,0.9561904761904761
Hubei Province,-0.31675718043096357,-0.37920963443903605,-1.7162296507391244,-0.9887832590324198,0.27763553793889933,1.537231208526408,0.34285714285714286,1.6927872863937379,1.6117853372536173,-0.26107984518939664,0.8717028860435742,2.407945768401557,4.201068741346615,0.9428571428571428
Chongqing Municipality,-0.2769947432778085,-0.34806244033350275,-1.337689919445019,-0.7603473300960105,0.09314037870728493,1.283143249214472,0.29523809523809524,1.680285852399101,1.5850044527298301,-0.1426931065297839,0.9152458970845971,2.2916615582408615,4.059795752850565,0.9561904761904761
