province,generation_CF_mean,generation_CF_median,generation_CF_2.5%,generation_CF_25%,generation_CF_75%,generation_CF_97.5%,generation_CF_P_gt_0,generation_F_mean,generation_F_median,generation_F_2.5%,generation_F_25%,generation_F_75%,generation_F_97.5%,generation_F_P_gt_0
Guizhou Province,0.16371739132182975,0.1911886715557723,-0.7930359215373305,-0.2103699378752546,0.5177901111565322,1.1442492589786293,0.6171428571428571,0.014836754440472088,0.0337577188276213,-1.0785855899879397,-0.3182546380775324,0.3534139760021212,0.9971488214887727,0.5352380952380953
Sichuan Province,0.23678939664874352,0.2594609964491849,-0.8847152699845859,-0.1401387144673193,0.6189699180730609,1.2199480371441283,0.6666666666666666,-0.02112626934717111,0.0090850796934346,-1.1927150300269744,-0.4246907397484968,0.3564654348138001,0.9664590219412217,0.5047619047619047
Hunan Province,0.2064159141287562,0.2468544682356848,-0.9400490490235838,-0.1872003555828607,0.5908695095280071,1.2778749289372786,0.6457142857142857,0.01635494580271283,0.0469654830460586,-1.17867856550047,-0.4317533582361703,0.4640840673541019,1.1826725505068418,0.5276190476190477
Hubei Province,0.14211640873191927,0.1665534569022851,-0.9158025602731026,-0.2576628269310041,0.5317899688169379,1.1970027612021221,0.6019047619047619,0.03375991998104872,0.0288478367151879,-1.0339313924967921,-0.3436946517623611,0.4314022488430218,1.1005197422873882,0.5085714285714286
Chongqing Municipality,-0.01114872363589132,-0.0322553317372726,-1.0696888175844268,-0.4155010028098949,0.349039154358059,1.1344808420349366,0.4895238095238095,-0.0877208664445806,-0.0996376690512798,-1.154009891498108,-0.4675852212160805,0.2749840039099329,1.1424307901369202,0.42857142857142855
