,imbalance_CF_mean,imbalance_CF_median,imbalance_CF_2.5%,imbalance_CF_25%,imbalance_CF_75%,imbalance_CF_97.5%,imbalance_CF_P_gt_0,imbalance_F_mean,imbalance_F_median,imbalance_F_2.5%,imbalance_F_25%,imbalance_F_75%,imbalance_F_97.5%,imbalance_F_P_gt_0
Guizhou Province,2.0075519025242294,1.7975367458870402,-0.09596634115111179,1.0325107952098218,2.946119184048254,4.9305639717834335,0.9695238095238096,7.723645230309689,7.354643985959535,3.0549812572974835,5.806501113767368,9.34528778741135,13.544750514244736,1.0
Sichuan Province,-0.22943228845839297,-0.2697371176051323,-1.997952233402198,-0.8498427025840963,0.31064765123361193,1.8730903887657855,0.38666666666666666,1.7481870284271466,1.6669345453392828,-0.3439520324792377,0.9317266708453338,2.4898510235036113,4.421154905374824,0.9295238095238095
Hunan Province,-0.7338476442259398,-0.8413991538883709,-2.880396135668923,-1.6645201142738084,0.08790064563929977,1.8887025711120007,0.2742857142857143,1.8375740302892036,1.7304034228371716,-0.8642848174499125,0.7876801233734344,2.8673988005414097,4.920480369008731,0.8876190476190476
Hubei Province,-0.4588735891628826,-0.545509916783959,-2.3845317254832477,-1.3474887378581581,0.3418439309246045,2.097227197450484,0.32571428571428573,1.6590273664126862,1.5511684820507263,-0.8581494390824805,0.5889629535042411,2.6672934006252143,4.6268233365507125,0.8761904761904762
Chongqing Municipality,-0.2658460196419169,-0.2990569519996452,-2.102726095045296,-0.9632990870165566,0.36673755192817725,1.933204855460666,0.38095238095238093,1.7680067188436843,1.685113952155421,-0.5853034218297218,0.7950436455232983,2.6453460532963495,4.484516108728715,0.92
